mouse_group,half_life,condition,,,,,,,,,,,,,,,,,,,,,,,
FVB,5.954565749,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,15.28068562,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,4.783294324,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,12.82928789,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,19.01638355,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,13.02051621,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,14.1744991,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,20.86849859,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,2.192719631,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,3.981670858,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,18.73370758,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,20.4915503,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,21.33876737,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,16.60431622,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,8.1866488,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,10.16516246,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,21.54102743,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,18.40002072,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,16.84440293,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
FVB,18.84268963,ISO,,,,,,,,,,,,,,,,,,,,,,,
FVB,13.68747024,ISO,,,,,,,,,,,,,,,,,,,,,,,
FVB,18.07801316,ISO,,,,,,,,,,,,,,,,,,,,,,,
